date,Deteriorated,Don't Know/Can't Say,Improved,Remained the same
2020-07-12,33.06,1.14,35.83,29.97
2020-07-13,32.82,1.24,36.05,29.89
2020-07-14,32.52,1.34,35.79,30.35
2020-07-15,32.61,1.36,35.84,30.19
2020-07-16,33.16,1.39,34.91,30.54
2020-07-17,33.95,1.44,33.64,30.97
2020-07-18,34.75,1.41,33.14,30.7
2020-07-19,34.46,1.46,33.86,30.22
2020-07-20,34.54,1.46,33.98,30.02
2020-07-21,34.44,1.4,34.35,29.81
2020-07-22,34.5,1.35,34.34,29.81
2020-07-23,34.35,1.43,34.57,29.65
2020-07-24,34.85,1.39,34.52,29.24
2020-07-25,34.73,1.35,34.57,29.35
2020-07-26,34.73,1.35,34.57,29.35
2020-07-27,34.69,1.29,34.17,29.85
2020-07-28,35.6,1.35,33.15,29.9
2020-07-29,35.57,1.33,32.47,30.63
2020-07-30,35.62,1.31,32.26,30.81
2020-07-31,36.73,1.39,31.48,30.4
2020-08-01,37.3,1.44,31.35,29.91
2020-08-02,38.28,1.43,31.21,29.08
2020-08-03,38.28,1.43,31.21,29.08
2020-08-04,38.14,1.46,31.43,28.97
2020-08-05,37.78,1.42,31.63,29.17
2020-08-06,37.89,1.46,31.74,28.91
2020-08-07,38.3,1.47,31.8,28.43
2020-08-08,38.54,1.52,31.79,28.15
2020-08-09,38.54,1.52,31.79,28.15
2020-08-10,38.82,1.44,31.87,27.87
2020-08-11,39.44,1.41,31.63,27.52
2020-08-12,39.44,1.43,31.49,27.64
2020-08-13,38.9,1.32,30.15,29.63
2020-08-14,38.29,1.37,29.86,30.48
2020-08-15,38.63,1.43,29.87,30.07
2020-08-16,38.77,1.31,29.83,30.09
2020-08-17,39.58,1.26,29.52,29.64
2020-08-18,40.21,1.45,28.91,29.43
2020-08-19,40.1,1.63,28.81,29.46
2020-08-20,40.48,1.46,28.63,29.43
2020-08-21,40.21,1.55,28.49,29.75
